song
Body On My - Loud Luxury
Higher Love - Kygo
Unlove You - Armin van Buuren
bad guy (with Justin Bieber) - Billie Eilish
Cool Kids - Olympis
Safety (feat. DJ Snake) - Dark Heart 2am Mix - GASHI
Talk - Disclosure VIP - Khalid
Call You Mine - The Chainsmokers
Post Malone (feat. RANI) - Sam Feldt
Here With Me - Marshmello
Sixteen - Ellie Goulding
Never Really Over - Katy Perry
All You Need To Know (feat. Calle Lehmann) - Gryffin
I Miss Myself (with HRVY) - NOTD
Takeaway (feat. Lennon Stella) - The Chainsmokers
All the Time - Zara Larsson
What I Like About You (feat. Theresa Rex) - Jonas Blue
With You - Kaskade
Body Back (feat. Maia Wright) - Gryffin
Not Ok - Kygo
Ruin My Life - Zara Larsson
I Wanna Know (feat. Bea Miller) - NOTD
Better With You - 3LAU
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"") - Kygo"
Polaroid - Jonas Blue
In Your Arms (with X Ambassadors) - ILLENIUM
I'm Not Alright - Loud Luxury
SOS - Avicii
Harder - Jax Jones
The Middle - Zedd
Wanted - NOTD
Crash Into Me - Steve Aoki
Need Your Love (with Noah Kahan) - Gryffin
Good Things Fall Apart (with Jon Bellion) - ILLENIUM
Don't Call Me Up - Mabel
Nostalgic - A R I Z O N A
Let It Be Me - Steve Aoki
Lovers + Strangers - Starley
Sad Song (feat. TINI) - Alesso
Sleepless Nights - ayokay
Save Me Tonight - ARTY
No Sleep (feat. Bonn) - Martin Garrix
Feel Good (feat. Daya) - Gryffin
Endless Summer - Cashae
Faith (with Dolly Parton) [feat. Mr. Probz] - Galantis
Think About You - Kygo
Party For One - Carly Rae Jepsen
Ritual - Tiësto
Electricity (with Dua Lipa) - Silk City
Lie - Shallou
I Found You (with Calvin Harris) - benny blanco
Now That I Found You - Carly Rae Jepsen
All Comes Back To You - R3HAB
Need U - DVBBS
First Love - Lost Kings
Something Real - Armin van Buuren
TIME - Alesso
Something About You (with Rudimental) - Elderbrook
Home (feat. Bonn) - Martin Garrix
Sorry - Joel Corry
Spicy (with Diplo & Charli XCX) - Herve Pagez
The Upside (feat. Elle King) - Lindsey Stirling
Stay - Zedd
Million Voices - Armin van Buuren
"Taki Taki (with Selena Gomez, Ozuna & Cardi B) - DJ Snake"
Closer (feat. Halsey) - The Chainsmokers
Say My Name (feat. Zyra) - RAC Mix - ODESZA
Clarity - Zedd
Solo (feat. Demi Lovato) - Clean Bandit
Scared to Be Lonely - Martin Garrix
Friends (with BloodPop®) - Justin Bieber
RITMO (Bad Boys For Life) - The Black Eyed Peas
Promises (with Sam Smith) - Calvin Harris
Turn Me On (feat. Vula) - Riton
Light - San Holo
2U - David Guetta
Something Just Like This - The Chainsmokers
One Kiss (with Dua Lipa) - Calvin Harris
Heroes (we could be) - Alesso
It Ain’t Me (with Selena Gomez) - Kygo
Let Me Love You (Until You Learn To Love Yourself) - Ne-Yo
Let Me Love You - DJ Snake
Roses - The Chainsmokers
Stay The Night - Featuring Hayley Williams Of Paramore - Zedd
Latch - Disclosure
Flames - David Guetta
Sorry - Justin Bieber
This Is What You Came For - Calvin Harris
Wake Me Up - Avicii
In My Mind - Dynoro
Titanium (feat. Sia) - David Guetta
Where Are Ü Now - Skrillex
Firework - Katy Perry
Mi Gente (feat. Beyoncé) - J Balvin
Don't You Worry Child - Radio Edit - Swedish House Mafia
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"") - Justin Timberlake"
Anything Could Happen - Ellie Goulding
Poker Face - Lady Gaga
How Deep Is Your Love - Calvin Harris
In Your Eyes (feat. Alida) - Robin Schulz
Wish You Well (with Sigala) - Sigala
Dive - Hot Shade
No Goodbye - Paul Kalkbrenner
Work - MOTi
Instagram - Dimitri Vegas & Like Mike
Better Off Without You (feat. Shift K3Y) - Becky Hill
Butterfly - Molella
All The Love You Got - MOTi
Love Is Not Enough - GATTÜSO
Lose Control - MEDUZA
I Wanna Dance - Jonas Blue
Midnight Hour with Boys Noize & Ty Dolla $ign - Skrillex
Pon de Replay - Ed Marquis
So Close - NOTD
